year,iso_code,country,debt_type,prices,units,value
2018,JAM,Jamaica,Bilateral,current,USD million,97.97
2018,JOR,Jordan,Bilateral,current,USD million,266.2301341
2018,KAZ,Kazakhstan,Bilateral,current,USD million,338.796
2018,KEN,Kenya,Bilateral,current,USD million,1367.115034
2018,KGZ,Kyrgyz Republic,Bilateral,current,USD million,44.9501853
2018,KHM,Cambodia,Bilateral,current,USD million,326.9916259000001
2018,LAO,Lao PDR,Bilateral,current,USD million,1034.911082
2018,LBN,Lebanon,Bilateral,current,USD million,37.5107317
2018,LBR,Liberia,Bilateral,current,USD million,39.1101421
2018,LKA,Sri Lanka,Bilateral,current,USD million,517.4879506
2018,MAR,Morocco,Bilateral,current,USD million,261.9157192
2018,MDG,Madagascar,Bilateral,current,USD million,44.7745616
2018,MDV,Maldives,Bilateral,current,USD million,446.7969253
2018,MEX,Mexico,Bilateral,current,USD million,176.22662580000002
2018,MKD,North Macedonia,Bilateral,current,USD million,62.3725197
2018,MLI,Mali,Bilateral,current,USD million,31.104992800000005
2018,MMR,Myanmar,Bilateral,current,USD million,63.1024005
2018,MNE,Montenegro,Bilateral,current,USD million,228.6150802
2018,MNG,Mongolia,Bilateral,current,USD million,190.5785111
2018,MOZ,Mozambique,Bilateral,current,USD million,213.05323049999998
2018,MRT,Mauritania,Bilateral,current,USD million,91.0413396
2018,MUS,Mauritius,Bilateral,current,USD million,52.9227969
2018,MWI,Malawi,Bilateral,current,USD million,27.2013531
2018,NER,Niger,Bilateral,current,USD million,71.7903025
2018,NGA,Nigeria,Bilateral,current,USD million,704.457
2018,NIC,Nicaragua,Bilateral,current,USD million,1.9664809
2018,NPL,Nepal,Bilateral,current,USD million,78.6133492
2018,PAK,Pakistan,Bilateral,current,USD million,7128.0307852999995
2018,PER,Peru,Bilateral,current,USD million,98.39289790000001
2018,PHL,Philippines,Bilateral,current,USD million,145.0031909
2018,PNG,Papua New Guinea,Bilateral,current,USD million,86.5728711
2018,PRY,Paraguay,Bilateral,current,USD million,10.698
2018,RWA,Rwanda,Bilateral,current,USD million,21.4239478
2018,SDN,Sudan,Bilateral,current,USD million,45.2233455
2018,SEN,Senegal,Bilateral,current,USD million,431.56761029999996
2018,SLE,Sierra Leone,Bilateral,current,USD million,13.707630899999998
2018,SLV,El Salvador,Bilateral,current,USD million,1.0832106000000001
2018,SRB,Serbia,Bilateral,current,USD million,829.8590487
2018,SUR,Suriname,Bilateral,current,USD million,103.0593322
2018,SWZ,Eswatini,Bilateral,current,USD million,74.650222
2018,TGO,Togo,Bilateral,current,USD million,22.952769699999997
2018,THA,Thailand,Bilateral,current,USD million,1.0960965000000158
2018,TJK,Tajikistan,Bilateral,current,USD million,4.5562355
2018,TKM,Turkmenistan,Bilateral,current,USD million,874.7793403999999
2018,TUN,Tunisia,Bilateral,current,USD million,195.55258759999998
2018,TUR,Turkiye,Bilateral,current,USD million,660.8848829
2018,TZA,Tanzania,Bilateral,current,USD million,156.6614075
2018,UGA,Uganda,Bilateral,current,USD million,605.7027536
2018,UKR,Ukraine,Bilateral,current,USD million,30.0
2018,UZB,Uzbekistan,Bilateral,current,USD million,566.7786103
2018,VCT,St. Vincent and the Grenadines,Bilateral,current,USD million,9.3062968
2018,VNM,Viet Nam,Bilateral,current,USD million,816.3103533000001
2018,VUT,Vanuatu,Bilateral,current,USD million,1.9678013
2018,WSM,Samoa,Bilateral,current,USD million,13.780664
2018,XKX,Kosovo,Bilateral,current,USD million,0.292
2018,ZAF,South Africa,Bilateral,current,USD million,428.1218072
2018,ZMB,Zambia,Bilateral,current,USD million,595.5177579
2018,ZWE,Zimbabwe,Bilateral,current,USD million,281.78612949999996
2019,AGO,Angola,Bilateral,current,USD million,351.2386491
2019,ALB,Albania,Bilateral,current,USD million,44.6418133
2019,ARG,Argentina,Bilateral,current,USD million,507.3516714
2019,ARM,Armenia,Bilateral,current,USD million,178.91427069999997
2019,AZE,Azerbaijan,Bilateral,current,USD million,343.9991241
2019,BEN,Benin,Bilateral,current,USD million,12.103312299999999
2019,BFA,Burkina Faso,Bilateral,current,USD million,22.7211994
2019,BGD,Bangladesh,Bilateral,current,USD million,1398.8788646
2019,BIH,Bosnia and Herzegovina,Bilateral,current,USD million,25.787959
2019,BLR,Belarus,Bilateral,current,USD million,1692.4184417000001
2019,BLZ,Belize,Bilateral,current,USD million,21.8192653
2019,BOL,Bolivia,Bilateral,current,USD million,330.10563119999995
2019,BRA,Brazil,Bilateral,current,USD million,1542.680823
2019,BTN,Bhutan,Bilateral,current,USD million,95.1384643
2019,CAF,Central African Republic,Bilateral,current,USD million,0.903
2019,CHN,China,Bilateral,current,USD million,258.84934499999997
2019,CIV,Cote d'Ivoire,Bilateral,current,USD million,617.1540731
2019,CMR,Cameroon,Bilateral,current,USD million,696.8066936
2019,COD,"Congo, Dem. Rep.",Bilateral,current,USD million,112.48704479999999
2019,COG,"Congo, Rep.",Bilateral,current,USD million,258.628869
2019,COL,Colombia,Bilateral,current,USD million,7.705
2019,CPV,Cabo Verde,Bilateral,current,USD million,3.6208835
2019,DJI,Djibouti,Bilateral,current,USD million,16.0908667
2019,DOM,Dominican Republic,Bilateral,current,USD million,15.1564589
2019,ECU,Ecuador,Bilateral,current,USD million,672.1412483
2019,EGY,"Egypt, Arab Rep.",Bilateral,current,USD million,2076.9739729000003
2019,ERI,Eritrea,Bilateral,current,USD million,1.3125897
2019,ETH,Ethiopia,Bilateral,current,USD million,449.9124357
2019,GAB,Gabon,Bilateral,current,USD million,124.0656011
2019,GEO,Georgia,Bilateral,current,USD million,13.560288499999965
2019,GHA,Ghana,Bilateral,current,USD million,270.4465596
2019,GIN,Guinea,Bilateral,current,USD million,700.6501961
2019,GMB,"Gambia, The",Bilateral,current,USD million,36.6018765
2019,GRD,Grenada,Bilateral,current,USD million,3.0919999999999996
